SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/23/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.045187","2.168955"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/24/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037439","1.797087"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/25/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037509","1.800430"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/26/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037472","1.798657"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/27/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.036963","1.774207"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/28/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037878","1.818148"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/29/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037613","1.805425"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/30/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040136","1.926525"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","1/31/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.037781","1.813508"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/1/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038219","1.834530"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/2/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038325","1.839563"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/3/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038555","1.850620"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/4/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.0385","1.848009"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/5/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038511","1.848530"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/6/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.038623","1.853922"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/7/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.039008","1.872402"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/8/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.02515","1.207196"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/9/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.039779","1.909378"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/10/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.039645","1.902950"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/11/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.0406","1.948797"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/12/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040862","1.961397"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/13/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040414","1.939917"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/14/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040535","1.945638"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/15/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.041938","2.012978"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/16/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.04072","1.954584"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/17/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040275","1.933147"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/18/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.042617","2.045604"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/19/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040596","1.948609"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/20/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040344","1.936520"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/21/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040469","1.942517"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/22/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.04196","2.014019"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/23/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040506","1.944259"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/24/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040012","1.920594"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/25/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040642","1.950780"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/26/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040363","1.937402"
"BISTEC Care Azure Sponsorship 002","1d3baa58-d65d-4735-a333-dd5f4aa49125","2/27/2025","9cb72649-e2e7-54db-a00f-2f543e351e6b","Dataverse","All","Global","Database Capacity Data Stored","0.040778","1.957335"
